측정소명,초미세먼지,오존
강북구,28,0.018
도봉구,23,0.029
동대문구,19,0.003
노원구,27,0.01
양천구,20,0.019
구로구,26,0.013
관악구,16,0.001
동작구,30,0.007
영등포구,17,0.016
금천구,25,0.002
강서구,20,0.015
강남구,25,0.017
서초구,24,0.012
강동구,26,0.005
송파구,24,0.002
용산구,18,0.014
중구,22,0.01
종로구,22,0.01
은평구,23,0.016
마포구,16,0.011
서대문구,23,0.012
중랑구,21,0.009
동대문구,18,0.006
노원구,27,0.008
성동구,19,0.014
강북구,25,0.017
성북구,22,0.006
도봉구,21,0.023
광진구,22,0.013
관악구,18,0.002
동작구,30,0.006
강서구,17,0.02
금천구,23,0.002
영등포구,16,0.014
구로구,26,0.009
양천구,17,0.021
송파구,21,0.002
강동구,20,0.013
서초구,26,0.011
강남구,23,0.02
중구,23,0.021
용산구,19,0.023
종로구,22,0.012
은평구,21,0.022
마포구,17,0.014
서대문구,26,0.012
노원구,31,0.006
강북구,25,0.02
성북구,18,0.009
성동구,21,0.024
동대문구,19,0.012
광진구,24,0.02
중랑구,22,0.013
도봉구,18,0.023
동작구,34,0.007
영등포구,20,0.007
강서구,13,0.015
금천구,25,0.002
구로구,26,0.009
양천구,18,0.012
관악구,21,0.003
강남구,23,0.031
강동구,22,0.023
송파구,19,0.004
서초구,23,0.013
종로구,20,0.017
용산구,16,0.024
중구,22,0.02
은평구,25,0.022
마포구,16,0.013
서대문구,23,0.017
성북구,18,0.014
노원구,26,0.003
강북구,24,0.029
도봉구,21,0.041
중랑구,20,0.022
성동구,19,0.029
광진구,23,0.025
동대문구,16,0.019
강서구,15,0.022
양천구,22,0.016
금천구,21,0.004
관악구,19,0.005
동작구,30,0.011
구로구,26,0.019
영등포구,18,0.016
강남구,25,0.033
송파구,19,0.02
서초구,27,0.029
강동구,20,0.025
종로구,23,0.026
용산구,15,0.027
중구,23,0.028
은평구,20,0.029
서대문구,23,0.025
마포구,19,0.023
동대문구,17,0.03
중랑구,22,0.027
노원구,25,0.015
강북구,26,0.033
도봉구,18,0.044
광진구,22,0.028
성북구,23,0.019
성동구,26,0.03
양천구,20,0.022
강서구,17,0.032
영등포구,20,0.027
동작구,30,0.017
구로구,26,0.029
금천구,25,0.006
관악구,19,0.021
강동구,23,0.029
강남구,27,0.022
서초구,25,0.033
송파구,24,0.013
용산구,17,0.027
중구,21,0.033
종로구,20,0.034
마포구,17,0.024
서대문구,22,0.042
은평구,23,0.038
노원구,25,0.032
중랑구,20,0.032
도봉구,19,0.043
성북구,0,0.03
동대문구,15,0.037
강북구,22,0.036
성동구,21,0.026
광진구,23,0.025
영등포구,22,0.024
양천구,23,0.025
관악구,18,0.023
동작구,27,0.025
구로구,27,0.035
금천구,25,0.02
강서구,19,0.033
강동구,24,0.024
송파구,21,0.019
서초구,28,0.03
강남구,29,0.022
중구,24,0.031
종로구,21,0.03
용산구,22,0.03
서대문구,16,0.04
은평구,25,0.04
마포구,17,0.028
동대문구,18,0.035
광진구,34,0.027
도봉구,27,0.041
성북구,26,0.033
성동구,25,0.03
노원구,34,0.032
중랑구,30,0.032
강북구,31,0.038
강서구,19,0.032
금천구,27,0.029
영등포구,25,0.029
동작구,32,0.031
양천구,29,0.028
구로구,27,0.04
관악구,22,0.029
강동구,33,0.03
강남구,36,0.03
서초구,31,0.036
송파구,22,0.029
종로구,32,0.032
중구,32,0.037
용산구,29,0.042
은평구,38,0.041
마포구,21,0.033
서대문구,28,0.04
도봉구,34,0.038
광진구,41,0.035
노원구,33,0.029
성동구,35,0.038
중랑구,31,0.031
성북구,26,0.033
동대문구,28,0.036
강북구,36,0.037
영등포구,26,0.037
관악구,21,0.037
구로구,25,0.045
금천구,26,0.036
동작구,33,0.034
양천구,27,0.033
강서구,19,0.037
강남구,39,0.04
서초구,36,0.045
강동구,30,0.037
송파구,26,0.037
용산구,34,0.043
중구,39,0.039
종로구,36,0.034
서대문구,37,0.043
은평구,35,0.042
마포구,32,0.039
강북구,34,0.036
동대문구,29,0.038
중랑구,25,0.037
성북구,30,0.035
광진구,31,0.038
도봉구,35,0.04
성동구,32,0.041
노원구,24,0.033
강서구,26,0.043
동작구,43,0.038
구로구,27,0.051
양천구,35,0.036
관악구,29,0.041
영등포구,35,0.041
금천구,26,0.038
서초구,44,0.051
강동구,22,0.038
강남구,39,0.046
송파구,38,0.041
중구,34,0.038
종로구,24,0.037
용산구,29,0.042
마포구,34,0.039
서대문구,41,0.043
은평구,32,0.042
강북구,26,0.042
중랑구,24,0.036
성북구,19,0.038
도봉구,23,0.044
동대문구,22,0.04
광진구,27,0.037
성동구,29,0.04
노원구,22,0.034
구로구,35,0.058
관악구,30,0.045
영등포구,35,0.047
강서구,30,0.045
양천구,38,0.041
동작구,38,0.041
금천구,27,0.041
송파구,27,0.039
강동구,22,0.038
서초구,39,0.048
강남구,0,0
용산구,26,0.042
중구,36,0.038
종로구,29,0.036
서대문구,27,0.047
은평구,30,0.045
마포구,31,0.037
동대문구,20,0.04
도봉구,26,0.04
성북구,23,0.039
광진구,29,0.033
중랑구,28,0.033
노원구,28,0.032
강북구,28,0.04
성동구,26,0.033
양천구,37,0.041
구로구,35,0.057
동작구,40,0.04
강서구,31,0.045
금천구,29,0.043
영등포구,31,0.041
관악구,34,0.043
송파구,28,0.036
강남구,0,0
서초구,40,0.046
강동구,26,0.034
중구,37,0.036
종로구,28,0.034
용산구,26,0.039
은평구,32,0.044
마포구,26,0.037
서대문구,26,0.044
성동구,0,0
동대문구,23,0.036
중랑구,23,0.03
노원구,24,0.029
광진구,32,0.028
성북구,23,0.034
도봉구,28,0.034
강북구,30,0.035
영등포구,26,0.035
동작구,29,0.035
금천구,26,0.041
구로구,35,0.05
관악구,28,0.039
양천구,30,0.037
강서구,26,0.041
송파구,28,0.029
서초구,35,0.044
강동구,20,0.031
강남구,32,0.037
중구,38,0.031
용산구,26,0.035
종로구,30,0.029
마포구,28,0.033
은평구,36,0.036
서대문구,27,0.038
성북구,24,0.028
중랑구,22,0.031
강북구,36,0.03
광진구,0,0
노원구,20,0.03
동대문구,27,0.031
도봉구,28,0.031
성동구,0,0
관악구,29,0.035
금천구,23,0.035
동작구,33,0.031
구로구,29,0.044
양천구,31,0.036
강서구,24,0.041
영등포구,29,0.036
강남구,34,0.031
송파구,24,0.03
서초구,40,0.038
강동구,29,0.034
용산구,26,0.032
중구,35,0.025
종로구,32,0.024
은평구,39,0.031
서대문구,40,0.031
마포구,28,0.03
노원구,20,0.029
도봉구,25,0.032
성동구,33,0.035
강북구,30,0.03
중랑구,24,0.03
성북구,29,0.027
광진구,0,0
동대문구,26,0.029
금천구,24,0.031
동작구,31,0.031
구로구,33,0.042
양천구,32,0.033
강서구,22,0.037
영등포구,28,0.034
관악구,29,0.033
강동구,30,0.024
강남구,34,0.028
서초구,43,0.031
송파구,21,0.033
중구,37,0.023
용산구,34,0.025
종로구,38,0.02
은평구,40,0.024
마포구,33,0.024
서대문구,34,0.031
도봉구,34,0.031
동대문구,33,0.024
광진구,0,0
노원구,32,0.031
성북구,30,0.02
중랑구,32,0.027
강북구,34,0.03
성동구,38,0.031
양천구,30,0.032
영등포구,31,0.032
금천구,30,0.028
관악구,32,0.031
강서구,24,0.039
동작구,39,0.03
구로구,37,0.04
강남구,37,0.026
송파구,33,0.03
서초구,44,0.026
강동구,31,0.019
종로구,33,0.012
용산구,31,0.017
중구,33,0.026
은평구,36,0.02
서대문구,42,0.022
마포구,33,0.019
도봉구,34,0.018
성북구,36,0.012
노원구,31,0.023
동대문구,31,0.012
성동구,33,0.022
광진구,31,0.016
중랑구,31,0.014
강북구,35,0.019
영등포구,26,0.025
구로구,35,0.034
강서구,25,0.031
양천구,27,0.031
동작구,37,0.026
금천구,30,0.026
관악구,26,0.028
강동구,29,0.011
서초구,44,0.02
강남구,34,0.011
송파구,37,0.023
용산구,32,0.011
종로구,31,0.009
중구,35,0.022
은평구,34,0.021
마포구,32,0.011
서대문구,35,0.012
성북구,32,0.008
성동구,31,0.014
광진구,31,0.005
동대문구,24,0.008
강북구,25,0.015
도봉구,34,0.008
중랑구,28,0.007
노원구,25,0.01
동작구,36,0.018
양천구,24,0.021
관악구,23,0.022
금천구,29,0.016
영등포구,29,0.016
강서구,22,0.018
구로구,35,0.027
강동구,25,0.007
강남구,33,0.006
송파구,33,0.01
서초구,41,0.02
용산구,27,0.007
중구,34,0.005
종로구,30,0.005
서대문구,37,0.006
마포구,31,0.004
은평구,29,0.007
강북구,23,0.012
성북구,27,0.005
노원구,26,0.005
광진구,30,0.003
중랑구,29,0.004
동대문구,21,0.004
