측정일시,측정소명,초미세먼지(㎍/㎥),오존(ppm)
202003311100 ,서대문구,38,0.023
202003311100 ,은평구,37,0.022
202003311100 ,마포구,36,0.019
202003311100 ,동대문구,34,0.018
202003311100 ,성동구,36,0.022
202003311100 ,광진구,39,0.022
202003311100 ,강북구,34,0.023
202003311100 ,노원구,32,0.023
202003311100 ,중랑구,31,0.019
202003311100 ,성북구,33,0.02
202003311100 ,도봉구,38,0.023
202003311100 ,영등포구,33,0.017
202003311100 ,동작구,42,0.02
202003311100 ,강서구,37,0.016
202003311100 ,양천구,37,0.02
202003311100 ,관악구,34,0.019
202003311100 ,금천구,31,0.022
202003311100 ,구로구,36,0.026
202003311100 ,서초구,49,0.017
202003311100 ,송파구,41,0.02
202003311100 ,강남구,38,0.011
202003311100 ,강동구,34,0.02
202003311000 ,용산구,31,0.012
202003311000 ,중구,36,0.011
202003311000 ,종로구,31,0.013
202003311000 ,마포구,33,0.01
202003311000 ,은평구,31,0.015
202003311000 ,서대문구,41,0.018
202003311000 ,노원구,26,0.011
202003311000 ,동대문구,29,0.013
202003311000 ,성북구,27,0.011
202003311000 ,성동구,31,0.01
202003311000 ,광진구,35,0.014
202003311000 ,도봉구,32,0.011
202003311000 ,강북구,32,0.017
202003311000 ,중랑구,29,0.013
202003311000 ,관악구,29,0.015
202003311000 ,동작구,35,0.017
202003311000 ,양천구,39,0.01
202003311000 ,구로구,38,0.017
202003311000 ,금천구,32,0.013
202003311000 ,영등포구,29,0.009
202003311000 ,강서구,37,0.009
202003311000 ,강남구,34,0.009
202003311000 ,강동구,27,0.012
202003311000 ,송파구,34,0.01
202003311000 ,서초구,46,0.014
202003310900 ,종로구,26,0.008
202003310900 ,용산구,24,0.008
202003310900 ,중구,34,0.005
202003310900 ,은평구,27,0.008
202003310900 ,서대문구,29,0.01
202003310900 ,마포구,24,0.005
202003310900 ,광진구,31,0.006
202003310900 ,동대문구,25,0.007
202003310900 ,노원구,25,0.006
202003310900 ,성북구,26,0.008
202003310900 ,성동구,29,0.006
202003310900 ,도봉구,32,0.011
202003310900 ,강북구,26,0.012
202003310900 ,중랑구,25,0.006
202003310900 ,양천구,37,0.007
202003310900 ,관악구,26,0.007
202003310900 ,금천구,31,0.007
