date,usd,usd_rate
2008-01-29,944.3,-0.0058
2008-01-30,944.6,0.0003
2008-01-31,943.85,-0.0008
2008-02-01,944.4,0.0006
2008-02-04,942.8,-0.0017
2008-02-05,943.6,0.0008
2008-02-06,941.8,-0.0019
2008-02-07,941.8,0
2008-02-08,941.6,-0.0002
2008-02-11,945.25,0.0039
2008-02-12,945.6,0.0004
2008-02-13,945.8,0.0002
2008-02-14,945.3,-0.0005
2008-02-15,945.05,-0.0003
2008-02-18,945.35,0.0003
2008-02-19,943.85,-0.0016
2008-02-20,946.3,0.0026
2008-02-21,948.7,0.0025
2008-02-22,948.55,-0.0002
2008-02-25,947.1,-0.0015
2008-02-26,947.25,0.0002
2008-02-27,941.05,-0.0065
2008-02-28,936.9,-0.0044
2008-02-29,939.05,0.0023
2008-03-03,946.9,0.0084
2008-03-04,947,0.0001
2008-03-05,948.4,0.0015
2008-03-06,949.7,0.0014
2008-03-07,957.65,0.0084
2008-03-10,965.3,0.008
2008-03-11,970.05,0.0049
2008-03-12,971.35,0.0013
2008-03-13,982.3,0.0113
2008-03-14,997.4,0.0154
2008-03-17,1024.4,0.0271
2008-03-18,1009.7,-0.0143
2008-03-19,1009.6,-0.0001
2008-03-20,1009.6,0
2008-03-21,1003.1,-0.0064
2008-03-24,997.2,-0.0059
2008-03-25,976.15,-0.0211
2008-03-26,986.7,0.0108
2008-03-27,987.65,0.001
2008-03-28,993.1,0.0055
2008-03-31,990.35,-0.0028
2008-04-01,983.85,-0.0066
2008-04-02,974.6,-0.0094
2008-04-03,975.5,0.0009
2008-04-04,973.85,-0.0017
2008-04-07,974.95,0.0011
2008-04-08,976.05,0.0011
2008-04-09,976.1,0.0001
2008-04-10,976.4,0.0003
2008-04-11,975.75,-0.0007
2008-04-14,979.65,0.004
2008-04-15,986.85,0.0073
2008-04-16,989.5,0.0027
2008-04-17,991.9,0.0024
2008-04-18,998.05,0.0062
2008-04-21,991.55,-0.0065
2008-04-22,997.15,0.0056
2008-04-23,990.95,-0.0062
2008-04-24,996.4,0.0055
2008-04-25,995.8,-0.0006
2008-04-28,996.55,0.0008
2008-04-29,1004,0.0075
2008-04-30,1003,-0.001
2008-05-01,1009.25,0.0062
2008-05-02,1010,0.0007
2008-05-05,1006.5,-0.0035
2008-05-06,1007.25,0.0007
2008-05-07,1032.75,0.0253
2008-05-08,1040.5,0.0075
2008-05-09,1044.25,0.0036
2008-05-12,1041.75,-0.0024
2008-05-13,1045.5,0.0036
2008-05-14,1047.5,0.0019
2008-05-15,1041.25,-0.006
2008-05-16,1037.25,-0.0038
2008-05-19,1038,0.0007
2008-05-20,1050.5,0.012
2008-05-21,1036.5,-0.0133
2008-05-22,1039.5,0.0029
2008-05-23,1045.75,0.006
2008-05-26,1048.7,0.0028
2008-05-27,1046,-0.0026
2008-05-28,1032,-0.0134
2008-05-29,1035.5,0.0034
2008-05-30,1028.25,-0.007
2008-06-02,1033.75,0.0053
2008-06-03,1012,-0.021
2008-06-04,1023.25,0.0111
2008-06-05,1023.75,0.0005
2008-06-06,1031.25,0.0073
2008-06-09,1033.5,0.0022
2008-06-10,1027,-0.0063
2008-06-11,1030.5,0.0034
2008-06-12,1033.75,0.0032
2008-06-13,1044.25,0.0102
2008-06-16,1043.5,-0.0007
2008-06-17,1018.75,-0.0237
2008-06-18,1024.75,0.0059
2008-06-19,1032.5,0.0076
2008-06-20,1030.75,-0.0017
2008-06-23,1024,-0.0065
2008-06-24,1029,0.0049
2008-06-25,1034.75,0.0056
2008-06-26,1042.75,0.0077
2008-06-27,1043.25,0.0005
2008-06-30,1051,0.0074
2008-07-01,1049,-0.0019
2008-07-02,1037,-0.0114
2008-07-03,1045,0.0077
2008-07-04,1048.85,0.0037
2008-07-07,1039.5,-0.0089
2008-07-08,1026.25,-0.0127
2008-07-09,1004.8,-0.0209
2008-07-10,1002.88,-0.0019
2008-07-11,1002.4,-0.0005
2008-07-14,1004.53,0.0021
2008-07-15,1008.08,0.0035
2008-07-16,1006.75,-0.0013
2008-07-17,1008.5,0.0017
2008-07-18,1013.25,0.0047
2008-07-21,1019,0.0057
2008-07-22,1017.65,-0.0013
2008-07-23,1009.25,-0.0083
2008-07-24,1010,0.0007
2008-07-25,1007.5,-0.0025
2008-07-28,1006.25,-0.0012
2008-07-29,1004.25,-0.002
2008-07-30,1014.5,0.0102
2008-07-31,1012.25,-0.0022
2008-08-01,1016,0.0037
2008-08-04,1017.5,0.0015
2008-08-05,1014,-0.0034
2008-08-06,1015.8,0.0018
2008-08-07,1016.5,0.0007
2008-08-08,1029.25,0.0125
2008-08-11,1029.25,0
2008-08-12,1033.75,0.0044
2008-08-13,1039.75,0.0058
2008-08-14,1040,0.0002
2008-08-15,1039.5,-0.0005
2008-08-18,1038.5,-0.001
2008-08-19,1053.25,0.0142
2008-08-20,1043.75,-0.009
2008-08-21,1049.75,0.0057
2008-08-22,1063.5,0.0131
2008-08-25,1075.75,0.0115
2008-08-26,1086.5,0.01
2008-08-27,1084.5,-0.0018
2008-08-28,1085,0.0005
2008-08-29,1089.25,0.0039
2008-09-01,1116,0.0246
2008-09-02,1131.5,0.0139
2008-09-03,1148.55,0.0151
2008-09-04,1130.75,-0.0155
2008-09-05,1117.95,-0.0113
2008-09-08,1081.1,-0.033
2008-09-09,1095,0.0129
2008-09-10,1091.5,-0.0032
2008-09-11,1106.25,0.0135
2008-09-12,1106.75,0.0005
2008-09-15,1111.5,0.0043
2008-09-16,1159.5,0.0432
2008-09-17,1116.25,-0.0373
2008-09-18,1154,0.0338
2008-09-19,1139.7,-0.0124
2008-09-22,1134.75,-0.0043
2008-09-23,1148.6,0.0122
2008-09-24,1154.3,0.005
2008-09-25,1158.3,0.0035
2008-09-26,1161.1,0.0024
2008-09-29,1185.5,0.021
2008-09-30,1206.95,0.0181
2008-10-01,1187.4,-0.0162
2008-10-02,1223.75,0.0306
2008-10-03,1223.75,0
2008-10-06,1269,0.037
2008-10-07,1329.9,0.048
2008-10-08,1395,0.049
2008-10-09,1382.5,-0.009
2008-10-10,1307.6,-0.0542
2008-10-13,1240.45,-0.0514
2008-10-14,1206.65,-0.0272
2008-10-15,1238.8,0.0266
2008-10-16,1372.05,0.1076
2008-10-17,1334.5,-0.0274
2008-10-20,1310.5,-0.018
2008-10-21,1320.2,0.0074
2008-10-22,1362.55,0.0321
2008-10-23,1409.05,0.0341
2008-10-24,1430,0.0149
2008-10-27,1460,0.021
2008-10-28,1462.3,0.0016
2008-10-29,1388.5,-0.0505
2008-10-30,1244.55,-0.1037
2008-10-31,1282.5,0.0305
2008-11-03,1263,-0.0152
2008-11-04,1269.5,0.0051
2008-11-05,1268.05,-0.0011
2008-11-06,1331.8,0.0503
2008-11-07,1326.05,-0.0043
2008-11-10,1330,0.003
2008-11-11,1330,0
2008-11-12,1357.55,0.0207
2008-11-13,1391.3,0.0249
2008-11-14,1399.95,0.0062
2008-11-17,1408.5,0.0061
2008-11-18,1448.5,0.0284
2008-11-19,1446.85,-0.0011
2008-11-20,1497.85,0.0352
2008-11-21,1494.7,-0.0021
2008-11-24,1511.5,0.0112
2008-11-25,1502.3,-0.0061
2008-11-26,1478.25,-0.016
2008-11-27,1476.45,-0.0012
2008-11-28,1469,-0.005
2008-12-01,1440.5,-0.0194
2008-12-02,1464.5,0.0167
2008-12-03,1469.5,0.0034
2008-12-04,1484.55,0.0102
2008-12-05,1476,-0.0058
2008-12-08,1449.5,-0.018
2008-12-09,1433.55,-0.011
2008-12-10,1394,-0.0276
2008-12-11,1356.5,-0.0269
2008-12-12,1371.35,0.0109
2008-12-15,1363.5,-0.0057
2008-12-16,1349.55,-0.0102
2008-12-17,1325,-0.0182
2008-12-18,1285.5,-0.0298
2008-12-19,1287.05,0.0012
2008-12-22,1309,0.0171
2008-12-23,1337,0.0214
2008-12-24,1306.8,-0.0226
2008-12-25,1306.8,0
2008-12-26,1299.55,-0.0055
2008-12-29,1263,-0.0281
2008-12-30,1259.55,-0.0027
2008-12-31,1263,0.0027
2009-01-01,1263,0
2009-01-02,1321,0.0459
2009-01-05,1315,-0.0045
2009-01-06,1312,-0.0023
2009-01-07,1292.7,-0.0147
2009-01-08,1330,0.0289
2009-01-09,1348.5,0.0139
2009-01-12,1354.55,0.0045
2009-01-13,1354,-0.0004
2009-01-14,1354,0
2009-01-15,1393,0.0288
2009-01-16,1353,-0.0287
2009-01-19,1360.5,0.0055
2009-01-20,1370,0.007
2009-01-21,1370,0
2009-01-22,1374.3,0.0031
2009-01-23,1390.9,0.0121
2009-01-26,1390.9,0
2009-01-27,1391,0.0001
2009-01-28,1373,-0.0129
2009-01-29,1374.5,0.0011
2009-01-30,1381.5,0.0051
2009-02-02,1392.5,0.008
2009-02-03,1396,0.0025
2009-02-04,1378.6,-0.0125
2009-02-05,1375,-0.0026
2009-02-06,1370.2,-0.0035
2009-02-09,1378,0.0057
2009-02-10,1389,0.008
2009-02-11,1395.5,0.0047
2009-02-12,1400,0.0032
2009-02-13,1405,0.0036
2009-02-16,1427.7,0.0162
2009-02-17,1455.3,0.0193
2009-02-18,1465,0.0067
2009-02-19,1481.95,0.0116
2009-02-20,1520,0.0257
2009-02-23,1500.35,-0.0129
2009-02-24,1516.6,0.0108
2009-02-25,1516.1,-0.0003
2009-02-26,1517.3,0.0008
2009-02-27,1533.45,0.0106
2009-03-02,1570.65,0.0243
2009-03-03,1551.9,-0.0119
2009-03-04,1551.25,-0.0004
2009-03-05,1567.95,0.0108
2009-03-06,1546,-0.014
2009-03-09,1547,0.0006
2009-03-10,1502.62,-0.0287
2009-03-11,1467,-0.0237
2009-03-12,1496.7,0.0202
2009-03-13,1486,-0.0071
2009-03-16,1436,-0.0336
2009-03-17,1417.5,-0.0129
2009-03-18,1416,-0.0011
2009-03-19,1399.5,-0.0117
2009-03-20,1401.3,0.0013
2009-03-23,1387.15,-0.0101
2009-03-24,1386.65,-0.0004
2009-03-25,1357.42,-0.0211
2009-03-26,1331.55,-0.0191
2009-03-27,1345,0.0101
2009-03-30,1396.75,0.0385
2009-03-31,1374.05,-0.0163
2009-04-01,1373.5,-0.0004
2009-04-02,1330.5,-0.0313
2009-04-03,1337,0.0049
2009-04-06,1305.5,-0.0236
2009-04-07,1318.5,0.01
2009-04-08,1350.5,0.0243
2009-04-09,1322,-0.0211
2009-04-10,1329,0.0053
2009-04-13,1325,-0.003
2009-04-14,1321,-0.003
2009-04-15,1334,0.0098
2009-04-16,1332.5,-0.0011
2009-04-17,1328,-0.0034
2009-04-20,1331,0.0023
2009-04-21,1350.75,0.0148
2009-04-22,1347,-0.0028
2009-04-23,1344,-0.0022
2009-04-24,1339.2,-0.0036
2009-04-27,1339.4,0.0001
2009-04-28,1352.8,0.01
2009-04-29,1336.7,-0.0119
