date,open,high,low,close,volume
2009-03-13,7167.35 ,7242.62 ,7105.86 ,7223.98 ,479010000.00 
2009-03-16,7225.33 ,7392.91 ,7206.85 ,7216.97 ,586970000.00 
2009-03-17,7218.00 ,7396.81 ,7172.05 ,7395.70 ,391880000.00 
2009-03-18,7395.70 ,7571.64 ,7257.27 ,7486.58 ,584110000.00 
2009-03-19,7489.68 ,7548.46 ,7369.26 ,7400.80 ,559920000.00 
2009-03-20,7402.31 ,7460.93 ,7257.83 ,7278.38 ,672950000.00 
2009-03-23,7279.25 ,7780.72 ,7278.78 ,7775.86 ,515600000.00 
2009-03-24,7773.47 ,7796.57 ,7646.99 ,7659.97 ,379670000.00 
2009-03-25,7659.81 ,7863.63 ,7550.06 ,7749.81 ,454090000.00 
2009-03-26,7752.36 ,7931.33 ,7752.28 ,7924.56 ,397260000.00 
2009-03-27,7922.57 ,7922.57 ,7735.95 ,7776.18 ,323650000.00 
2009-03-30,7773.31 ,7773.39 ,7437.59 ,7522.02 ,383260000.00 
2009-03-31,7523.77 ,7725.36 ,7523.45 ,7608.92 ,399840000.00 
2009-04-01,7606.13 ,7789.00 ,7483.87 ,7761.60 ,361340000.00 
2009-04-02,7763.99 ,8075.73 ,7763.99 ,7978.08 ,442820000.00 
2009-04-03,7980.63 ,8019.50 ,7897.24 ,8017.59 ,308210000.00 
2009-04-06,8016.16 ,8016.16 ,7862.20 ,7975.85 ,247400000.00 
2009-04-07,7968.92 ,7969.08 ,7762.08 ,7789.56 ,276920000.00 
2009-04-08,7788.68 ,7887.52 ,7750.85 ,7837.11 ,255350000.00 
2009-04-09,7839.89 ,8087.28 ,7839.89 ,8083.38 ,462060000.00 
2009-04-13,8082.02 ,8113.41 ,7963.75 ,8057.81 ,424250000.00 
2009-04-14,8057.41 ,8057.41 ,7902.26 ,7920.18 ,513010000.00 
2009-04-15,7914.92 ,8041.32 ,7870.48 ,8029.62 ,413280000.00 
2009-04-16,8029.14 ,8168.12 ,7962.71 ,8125.43 ,359470000.00 
2009-04-17,8125.43 ,8190.66 ,8086.88 ,8131.33 ,537670000.00 
2009-04-20,8128.94 ,8128.94 ,7840.45 ,7841.73 ,453660000.00 
2009-04-21,7841.73 ,7979.20 ,7791.95 ,7969.56 ,424030000.00 
2009-04-22,7964.78 ,8044.83 ,7868.01 ,7886.57 ,387030000.00 
2009-04-23,7886.81 ,7979.44 ,7804.21 ,7957.06 ,327240000.00 
2009-04-24,7957.45 ,8127.50 ,7957.45 ,8076.29 ,402720000.00 
2009-04-27,8073.82 ,8122.56 ,7987.16 ,8025.00 ,282990000.00 
2009-04-28,8023.56 ,8091.66 ,7938.98 ,8016.95 ,274710000.00 
2009-04-29,8018.31 ,8257.57 ,8017.91 ,8185.73 ,300340000.00 
2009-04-30,8188.51 ,8307.51 ,8136.90 ,8168.12 ,341400000.00 
2009-05-01,8167.41 ,8219.81 ,8099.31 ,8212.41 ,237360000.00 
2009-05-04,8213.60 ,8434.86 ,8213.60 ,8426.74 ,354490000.00 
2009-05-05,8425.55 ,8458.12 ,8362.78 ,8410.65 ,311490000.00 
2009-05-06,8403.48 ,8518.57 ,8403.00 ,8512.28 ,454480000.00 
2009-05-07,8512.28 ,8577.19 ,8358.00 ,8409.85 ,476640000.00 
2009-05-08,8410.73 ,8587.55 ,8410.73 ,8574.65 ,428420000.00 
2009-05-11,8569.23 ,8569.23 ,8410.33 ,8418.77 ,332630000.00 
2009-05-12,8419.17 ,8517.46 ,8365.65 ,8469.11 ,334840000.00 
2009-05-13,8461.80 ,8462.04 ,8262.43 ,8284.89 ,336930000.00 
2009-05-14,8285.92 ,8376.64 ,8273.90 ,8331.32 ,323800000.00 
2009-05-15,8326.22 ,8394.96 ,8230.17 ,8268.64 ,308820000.00 
2009-05-18,8270.15 ,8511.88 ,8270.15 ,8504.08 ,288280000.00 
2009-05-19,8502.48 ,8538.01 ,8463.54 ,8474.85 ,277710000.00 
2009-05-20,8471.82 ,8591.93 ,8405.47 ,8422.04 ,468640000.00 
2009-05-21,8416.07 ,8416.15 ,8221.01 ,8292.13 ,302280000.00 
2009-05-22,8292.21 ,8364.14 ,8257.17 ,8277.32 ,244190000.00 
2009-05-26,8277.32 ,8495.71 ,8226.90 ,8473.49 ,314760000.00 
2009-05-27,8473.65 ,8496.59 ,8289.35 ,8300.02 ,285990000.00 
2009-05-28,8300.50 ,8434.62 ,8246.58 ,8403.80 ,290730000.00 
2009-05-29,8404.04 ,8522.95 ,8368.52 ,8500.33 ,361910000.00 
2009-06-01,8501.53 ,8760.70 ,8501.29 ,8721.44 ,354830000.00 
2009-06-02,8721.60 ,8787.13 ,8693.72 ,8740.87 ,257560000.00 
2009-06-03,8740.07 ,8740.39 ,8598.38 ,8675.24 ,252160000.00 
2009-06-04,8675.28 ,8751.25 ,8634.57 ,8750.24 ,237800000.00 
2009-06-05,8751.75 ,8839.40 ,8700.41 ,8763.13 ,254970000.00 
2009-06-08,8759.35 ,8823.97 ,8633.07 ,8764.49 ,189630000.00 
2009-06-09,8764.83 ,8803.26 ,8725.12 ,8763.06 ,187930000.00 
2009-06-10,8763.66 ,8834.93 ,8639.95 ,8739.02 ,219920000.00 
2009-06-11,8736.23 ,8877.93 ,8736.23 ,8770.92 ,249900000.00 
2009-06-12,8770.01 ,8805.53 ,8716.73 ,8799.26 ,164020000.00 
2009-06-15,8798.50 ,8798.50 ,8577.90 ,8612.13 ,230220000.00 
2009-06-16,8612.44 ,8643.65 ,8499.38 ,8504.67 ,240690000.00 
2009-06-17,8504.36 ,8563.01 ,8461.29 ,8497.18 ,237870000.00 
2009-06-18,8496.73 ,8590.52 ,8475.12 ,8555.60 ,220050000.00 
2009-06-19,8556.96 ,8616.59 ,8496.73 ,8539.73 ,528710000.00 
2009-06-22,8538.52 ,8538.83 ,8334.55 ,8339.01 ,291240000.00 
2009-06-23,8340.44 ,8370.90 ,8286.41 ,8322.91 ,237150000.00 
2009-06-24,8323.51 ,8428.41 ,8259.88 ,8299.86 ,189430000.00 
2009-06-25,8299.25 ,8490.46 ,8259.43 ,8472.40 ,222540000.00 
2009-06-26,8468.54 ,8468.77 ,8401.36 ,8438.39 ,307640000.00 
2009-06-29,8440.13 ,8533.23 ,8429.09 ,8529.38 ,216480000.00 
2009-06-30,8528.93 ,8560.44 ,8393.95 ,8447.00 ,233340000.00 
2009-07-01,8447.53 ,8580.47 ,8447.53 ,8504.06 ,184600000.00 
2009-07-02,8503.00 ,8503.23 ,8280.74 ,8280.74 ,157800000.00 
2009-07-06,8280.74 ,8327.97 ,8205.99 ,8324.87 ,206900000.00 
2009-07-07,8324.95 ,8326.31 ,8154.38 ,8163.60 ,210880000.00 
2009-07-08,8163.60 ,8219.52 ,8087.19 ,8178.41 ,325250000.00 
2009-07-09,8179.01 ,8228.67 ,8145.31 ,8183.17 ,192660000.00 
2009-07-10,8182.49 ,8183.85 ,8093.31 ,8146.52 ,174260000.00 
2009-07-13,8146.52 ,8331.68 ,8130.42 ,8331.68 ,253520000.00 
2009-07-14,8331.37 ,8361.23 ,8285.20 ,8359.49 ,189170000.00 
2009-07-15,8363.95 ,8628.23 ,8363.95 ,8616.21 ,305000000.00 
2009-07-16,8612.66 ,8739.55 ,8584.40 ,8711.82 ,216580000.00 
2009-07-17,8711.89 ,8754.29 ,8674.41 ,8743.94 ,301410000.00 
